How did you hear about CCM?,What impacted your decision to attend CCM?,Ages,Interest in taking another class,Interested Classes,What motivated you to seek a computing class at CCM
"CCM Web site, Family member or friend, Current CCM student, Billboard, Radio, Home mailer","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'College reputation', 'Financial Aid', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Family/friend referral'], 'No Impact': ['Faculty/staff', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",35-64,4,"CyberSecurity, Data Analytics, Hardware Installation & Repair","To keep current in computing skills, Personal Enrichment, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
Family member or friend,"{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'Accepted my transfer credits', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': [], 'No Impact': ['Choice of programs', 'Online offerings', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'NJ Stars Program', 'Get college credit while in high school']}",21-24,1,No interested classes,It’s a required class for the degree I’m seeking
"CCM Web site, Family member or friend, Current CCM student, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Financial Aid', 'Small class sizes'], 'Some Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation', 'Scholarships', 'Extra-curricular opportunities'], 'No Impact': ['Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",25-34,3,"Web Development, CyberSecurity, App Development, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Game Design","Personal Enrichment, Career Advancement, Career Change, Professional Development, It’s a required class for the degree I’m seeking"
"CCM Web site, Social Media, Community Event, Family member or friend, High School Teacher, High School Counselor, Home mailer","{'High Impact': ['Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'College reputation', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Financial Aid', 'Scholarships', 'NJ Stars Program'], 'No Impact': ['Faculty/staff', 'Negative experience at another college', 'Get college credit while in high school']}",21-24,3,"CyberSecurity, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Career Advancement, Professional Development, Job Displacement"
Current CCM student,"{'High Impact': ['Affordable cost', 'Location/convenience', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Extra-curricular opportunities'], 'No Impact': ['NJ Stars Program', 'Get college credit while in high school']}",25-34,3,"Web Development, CyberSecurity, App Development, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair",It’s a required class for the degree I’m seeking
"Family member or friend, High School Teacher, High School Counselor, Employer","{'High Impact': ['Affordable cost', 'Faculty/staff', 'Financial Aid', 'Small class sizes', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'Scholarships'], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'College reputation', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"CyberSecurity, Data Analytics","Career Advancement, Professional Development, Job Displacement, Financial, IT Industry Certifications, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni","{'High Impact': ['Affordable cost', 'Family/friend referral', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'Choice of programs', 'Online offerings', 'College reputation'], 'No Impact': ['Faculty/staff', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
"High School Teacher, High School Counselor","{'High Impact': ['Family/friend referral', 'Faculty/staff'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Small class sizes'], 'No Impact': ['Choice of programs', 'Online offerings', 'College reputation', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,2,Game Design,"To keep current in computing skills, Curiosity, Career Advancement"
"Family member or friend, Current CCM student, High School Teacher","{'High Impact': ['Location/convenience', 'Choice of programs', 'Family/friend referral', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Online offerings'], 'No Impact': ['Affordable cost', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,2,No interested classes,It’s a required class for the degree I’m seeking
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'College reputation', 'Financial Aid', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits'], 'Some Impact': ['Family/friend referral', 'Faculty/staff', 'Scholarships', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Online offerings', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,2,CyberSecurity,"To keep current in computing skills, Personal Enrichment, It’s a required class for the degree I’m seeking"
"CCM Web site, Community Event, Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': ['Faculty/staff'], 'No Impact': ['Scholarships', 'Negative experience at another college', 'NJ Stars Program']}",18 and younger,5,CyberSecurity,"To keep current in computing skills, Curiosity"
"Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, Employer, Other","{'High Impact': ['Affordable cost', 'College reputation', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'Choice of programs', 'Family/friend referral', 'Faculty/staff', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities'], 'No Impact': ['Online offerings', 'Financial Aid', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",21-24,2,"CyberSecurity, Game Design","To keep current in computing skills, Curiosity, Career Advancement, Professional Development, Financial, It’s a required class for the degree I’m seeking"
"Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, Home mailer, Other","{'High Impact': ['Location/convenience', 'Online offerings', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Get college credit while in high school'], 'No Impact': ['Choice of programs', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
"Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, Other","{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'Financial Aid', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'College reputation', 'Extra-curricular opportunities'], 'No Impact': ['Faculty/staff', 'Scholarships', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,3,"CyberSecurity, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Professional Development, Financial, IT Industry Certifications"
"Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Family/friend referral', 'Financial Aid', 'Scholarships', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Faculty/staff'], 'No Impact': ['Location/convenience', 'Choice of programs', 'Online offerings', 'College reputation', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,2,"CyberSecurity, App Development","To keep current in computing skills, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"High School Counselor, Other","{'High Impact': ['Choice of programs', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Location/convenience'], 'No Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,3,No interested classes,It’s a required class for the degree I’m seeking
"Family member or friend, High School Teacher","{'High Impact': ['Financial Aid', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Negative experience at another college'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,No interested classes,Curiosity
"CCM Web site, Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Choice of programs', 'Online offerings', 'College reputation', 'Financial Aid', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': [], 'No Impact': ['Location/convenience', 'Family/friend referral', 'Faculty/staff', 'Scholarships', 'Negative experience at another college', 'NJ Stars Program']}",25-34,3,"CyberSecurity, Computer Programming","Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni, High School Teacher, High School Counselor, Billboard","{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs'], 'No Impact': ['Online offerings', 'Faculty/staff', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,No interested classes,"To keep current in computing skills, Curiosity, Personal Enrichment, It’s a required class for the degree I’m seeking"
"CCM Web site, Family member or friend, Current CCM student, CCM Alumni, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Small class sizes', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Get college credit while in high school'], 'No Impact': ['Faculty/staff', 'Scholarships', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
"CCM Web site, Family member or friend, Current CCM student, High School Teacher, High School Counselor, Home mailer","{'High Impact': ['Affordable cost', 'Location/convenience', 'Online offerings', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",21-24,4,"CyberSecurity, Computer Programming, Game Design","To keep current in computing skills, Career Advancement, Career Change, Professional Development, Financial, Relocation"
"High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'College reputation'], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",21-24,4,"CyberSecurity, Data Analytics, Computer Programming, Hardware Installation & Repair","To keep current in computing skills, Personal Enrichment, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni, High School Counselor","{'High Impact': ['Affordable cost', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Scholarships', 'Accepted my transfer credits', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': ['Location/convenience', 'Faculty/staff', 'Small class sizes', 'Extra-curricular opportunities', 'NJ Stars Program'], 'No Impact': []}",21-24,4,"Web Development, CyberSecurity, App Development, Machine Learning/Artificial Intelligence, Computer Programming",It’s a required class for the degree I’m seeking
"Current CCM student, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': [], 'Some Impact': ['Location/convenience', 'Small class sizes'], 'No Impact': ['Affordable cost', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,2,"Data Analytics, Game Design","To keep current in computing skills, Curiosity"
"Family member or friend, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'College reputation', 'Financial Aid'], 'Some Impact': ['Family/friend referral', 'Faculty/staff', 'Extra-curricular opportunities', 'Accepted my transfer credits'], 'No Impact': ['Online offerings', 'Scholarships', 'Small class sizes', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",18 and younger,1,No interested classes,"Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Faculty/staff', 'College reputation', 'Small class sizes', 'Accepted my transfer credits'], 'No Impact': ['Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"Web Development, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Professional Development, It’s a required class for the degree I’m seeking"
"CCM Web site, Family member or friend, High School Teacher, High School Counselor","{'High Impact': ['Location/convenience', 'College reputation', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Small class sizes', 'Extra-curricular opportunities', 'NJ Stars Program'], 'No Impact': ['Financial Aid', 'Scholarships', 'Accepted my transfer credits', 'Get college credit while in high school']}",19-20,3,"Web Development, Machine Learning/Artificial Intelligence","To keep current in computing skills, Curiosity, Career Advancement, It’s a required class for the degree I’m seeking"
"Current CCM student, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Online offerings', 'College reputation', 'Financial Aid', 'Scholarships'], 'Some Impact': ['Choice of programs', 'Family/friend referral', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Faculty/staff', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,4,"CyberSecurity, App Development, Data Analytics, Computer Programming, Game Design","To keep current in computing skills, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, High School Teacher, High School Counselor","{'High Impact': ['Family/friend referral', 'Financial Aid', 'Small class sizes', 'Extra-curricular opportunities', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'College reputation', 'Scholarships'], 'No Impact': ['Online offerings', 'Faculty/staff', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
Family member or friend,"{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Online offerings', 'Faculty/staff', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits'], 'No Impact': ['Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"CyberSecurity, Machine Learning/Artificial Intelligence, Game Design","To keep current in computing skills, Curiosity, Career Advancement, Professional Development, Financial, It’s a required class for the degree I’m seeking"
Current CCM student,"{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'College reputation', 'Financial Aid', 'Small class sizes', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': [], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'Scholarships', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",35-64,5,"Web Development, CyberSecurity, App Development, Computer Programming, Game Design, Hardware Installation & Repair",It’s a required class for the degree I’m seeking
Current CCM student,"{'High Impact': [], 'Some Impact': [], 'No Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,4,"App Development, Game Design",It’s a required class for the degree I’m seeking
"Family member or friend, Current CCM student, High School Counselor","{'High Impact': ['Choice of programs', 'Online offerings', 'College reputation', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'Faculty/staff'], 'No Impact': ['Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,3,App Development,"To keep current in computing skills, It’s a required class for the degree I’m seeking"
"Family member or friend, High School Teacher, Other","{'High Impact': ['Location/convenience', 'Choice of programs', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Online offerings', 'Family/friend referral', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities'], 'No Impact': ['Faculty/staff', 'College reputation', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"Web Development, CyberSecurity, App Development, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Job Displacement, Financial, Relocation, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience'], 'Some Impact': ['Financial Aid', 'Scholarships', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'NJ Stars Program', 'Get college credit while in high school']}",25-34,3,No interested classes,It’s a required class for the degree I’m seeking
"Current CCM student, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities']}",19-20,3,"Web Development, CyberSecurity, App Development","To keep current in computing skills, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
